problem_sha256,applied_params_hash,status,elapsed_ms,num_variables,num_bool,num_int,num_constraints,num_workers,num_conflicts,num_branches,deterministic_time
00a438e9a02d3895ebcf5e1eea77b3c1fba28d76ca73723c7befe71f327aae82,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,16676.9,3924,2783,1141,46300,8,3916,53955,13.2451
00d6004a1249fd1379ebc735c77d151f084727ad328b69df623d4a7b4d63f5f6,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,5990.7,1850,1257,593,21892,8,10712,125224,7.42965
0114ccef241fb15dac55b5044076da48fb0aae94ced62fb800c6cb80fdb4bece,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,34462,5306,3673,1633,63224,8,11567,90118,28.4192
01a1d9063de56c5adc87428afe7ffefcf1deb58cbf1d7e5cecf8362cbd571396,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,62558.7,5306,3673,1633,63224,8,15713,102256,43.3051
03012de510cde9db5046196d7b447fa299e3cfd3ba2cb2c12404376edc1f241a,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,12602.6,4054,2930,1124,48002,8,4517,55859,10.6474
06b08825173bc966570e184979982304ea8d33a41ce5d64b8c62eaac29c7cd1e,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,4041.21,1739,1149,590,20663,8,480,8169,2.09488
079937773cba535777985106b2d07c563265fb815d36abdf852940f4585fcf5b,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,59835.3,7843,5854,1989,89169,8,10943,101236,46.0915
0b1eb462e501c127119ebaed5477068246bb55d5ff64a25323863488d0b780c3,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,18896.7,4058,2932,1126,47669,8,10410,71086,20.2757
0b67bf459c1faa274487feb34ff95759660b3032c8a8e8a27b6212252c1b0728,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,9935.37,3313,2177,1136,40623,8,887,35323,7.60412
10211eedd813db0025927acaefc67fd413b2d8c2fb60009f35bb49cfc57584e7,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,28273,5081,3592,1489,62229,8,6970,70239,22.0618
